CustomerID,Recency,Frequency,Monetary,Cluster
12424,162,30,1760.96,At Risk
12425,78,36,777.2,At Risk
12426,194,30,582.73,Needs Attention
12427,21,31,825.8,Promising Customer
12428,25,294,7956.46,Champions
12429,9,97,3750.4,Champions
12430,43,11,256.4,Needs Attention
12431,35,234,6419.95,Promising Customer
12432,42,108,5059.32,Promising Customer
12433,0,420,13375.87,Champions
12434,84,50,806.14,At Risk
12435,79,36,7829.89,Loyal Customer
12436,99,16,509.01,Needs Attention
12437,1,199,4951.41,Champions
12438,14,98,2906.85,Champions
12441,366,11,173.55,Hibernating
12442,3,12,172.06,Potential Customer
12444,21,176,5005.46,Champions
12445,22,4,133.4,Hibernating
12446,57,57,1002.3100000000001,At Risk
12447,243,26,476.49,Needs Attention
12448,44,22,449.45,At Risk
12449,22,191,4067.29,Champions
12450,156,8,197.88,Hibernating
12451,10,354,9035.52,Champions
12452,16,22,430.57,Promising Customer
12453,134,43,707.09,At Risk
12454,56,15,3528.34,Loyal Customer
12455,73,90,2466.86,Promising Customer
12456,44,125,3181.04,Promising Customer
12457,66,62,2363.23,Promising Customer
12458,71,38,947.4,At Risk
12461,94,35,826.88,At Risk
12462,18,62,1189.59,Promising Customer
12463,53,83,1344.78,Promising Customer
12464,10,29,1212.05,Loyal Customer
12465,17,47,742.1899999999999,Promising Customer
12468,187,38,729.5400000000001,At Risk
12471,2,459,19788.65,Champions
12472,32,339,6572.11,Promising Customer
12473,29,167,3928.0499999999997,Promising Customer
12474,17,422,7324.09,Champions
12475,53,36,723.38,At Risk
12476,15,233,6816.42,Champions
12477,22,300,13219.74,Champions
12478,3,36,680.99,Champions
12479,11,31,527.2,Promising Customer
12480,28,154,3281.63,Promising Customer
12481,22,216,5579.82,Champions
12483,17,75,2484.98,Champions
12484,32,343,4527.32,Promising Customer
12488,9,55,1298.66,Champions
12489,336,15,334.93,Needs Attention
12490,5,245,5417.93,Champions
12491,38,26,460.40000000000003,At Risk
12492,63,20,263.21000000000004,About to Sleep
12493,165,22,433.74,Needs Attention
12494,15,77,1246.1000000000001,Champions
12497,81,14,1043.1,Can't Lose Them
12498,21,23,403.70000000000005,Promising Customer
12500,23,61,4257.82,Promising Customer
12501,336,149,2169.39,At Risk
12502,95,147,3723.87,Promising Customer
12504,18,9,482.04999999999995,Loyal Customer
12506,232,23,73.5,About to Sleep
12507,134,21,1304.81,Can't Lose Them
12508,26,68,397.88,Needs Awareness
12509,284,7,176.5,Hibernating
12510,142,33,982.5699999999999,At Risk
12512,66,31,132.18,About to Sleep
12513,112,35,612.29,At Risk
12514,267,51,1017.68,At Risk
12515,353,16,383.7,Needs Attention
12516,77,26,1312.06,At Risk
12517,28,279,2481.6,Promising Customer
12518,0,124,2056.89,Champions
12519,63,17,330.84,Needs Attention
12520,79,152,2634.26,Promising Customer
12521,142,38,599.68,At Risk
12522,39,12,192.72,Needs Attention
12523,19,106,1789.77,Champions
12524,9,144,4485.72,Champions
12526,0,71,1316.66,Champions
12527,81,18,348.71000000000004,Needs Attention
12528,9,92,1933.48,Champions
12530,59,66,1662.28,Promising Customer
12531,14,17,125.22,Needs Awareness
12532,30,16,349.83000000000004,At Risk
12534,130,63,1089.18,At Risk
12535,91,34,716.35,At Risk
12536,43,261,12601.830000000002,Promising Customer
12538,29,21,363.95,At Risk
12539,22,273,5568.35,Champions
12540,19,478,13400.24,Champions
12541,29,52,981.18,Promising Customer
12544,36,19,372.7,At Risk
12545,75,50,1000.39,At Risk
12546,46,69,1161.5,Promising Customer
12547,197,8,207.79999999999998,Hibernating
12548,166,5,95.19999999999999,Hibernating
12550,79,57,964.83,At Risk
12551,357,10,168.0,Hibernating
12552,38,20,437.82,At Risk
12553,8,191,3692.28,Champions
12556,50,119,599.56,Needs Awareness
12557,16,33,11990.960000000001,Loyal Customer
12558,7,11,269.96,Promising Customer
12559,310,21,561.71,Needs Attention
12560,5,105,2134.01,Champions
12561,302,16,238.85,Hibernating
12562,8,168,3781.7400000000002,Champions
12564,261,21,456.9,Needs Attention
12565,288,9,145.92,Hibernating
12566,86,19,351.65,Needs Attention
12567,22,446,9401.28,Champions
12569,2,188,4124.69,Champions
12571,39,34,519.61,At Risk
12572,8,60,1020.42,Champions
12573,227,28,160.54000000000002,About to Sleep
12574,315,11,218.45,Hibernating
12576,35,88,1315.83,Promising Customer
12577,35,146,626.6,Potential Customer
12578,21,114,2794.51,Champions
12579,78,29,440.42,At Risk
12580,246,24,415.7,Needs Attention
12581,39,15,197.71,Needs Attention
12582,238,22,511.36,Needs Attention
12583,2,247,7281.38,Champions
12584,3,96,2338.15,Champions
12585,234,87,2040.1,At Risk
12586,17,11,196.94000000000003,At Risk
12587,7,4,144.0,At Risk
12588,39,10,214.89999999999998,Needs Attention
12589,28,35,646.68,Promising Customer
12590,211,68,9864.26,At Risk
12591,317,26,452.84999999999997,Needs Attention
12592,92,18,437.6,Needs Attention
12593,108,21,418.09999999999997,Needs Attention
12594,37,118,3338.2200000000003,Promising Customer
12596,51,27,618.27,At Risk
12597,19,206,3811.22,Champions
12598,9,132,3023.08,Champions
12599,29,62,1032.58,Promising Customer
12600,28,64,2599.04,Promising Customer
12601,189,28,577.0600000000001,Needs Attention
12602,58,12,153.12,Hibernating
12603,21,2,739.1999999999999,Loyal Customer
12604,79,16,254.18,Needs Attention
12607,60,101,1579.51,Promising Customer
12609,78,60,1126.85,At Risk
12610,22,106,2099.54,Promising Customer
12611,52,65,1193.32,Promising Customer
12612,74,19,704.0400000000001,Can't Lose Them
12613,57,153,3344.38,Promising Customer
12614,277,20,315.6,Needs Attention
12615,2,105,2291.19,Champions
12616,95,32,713.3,At Risk
12617,29,41,352.98,Needs Awareness
12618,21,11,177.31,Needs Attention
12619,16,90,3641.24,Champions
12620,14,92,1339.41,Champions
12621,1,467,13689.67,Champions
12622,232,11,180.1,Hibernating
12623,276,18,305.1,Needs Attention
12624,106,38,641.13,At Risk
12625,211,86,2683.82,At Risk
12626,23,294,6620.48,Champions
12627,10,230,4478.53,Champions
12628,4,41,786.46,Champions
12630,9,64,1270.88,Champions
12631,57,31,640.5,At Risk
12633,58,101,2163.98,Promising Customer
12635,89,101,1689.18,At Risk
12637,67,382,6002.9,Promising Customer
12638,33,39,671.69,Promising Customer
12639,238,22,486.1,Needs Attention
12640,23,53,1174.58,Promising Customer
12641,115,10,185.9,Hibernating
12642,25,47,1013.26,Promising Customer
12643,128,24,3344.64,Can't Lose Them
12644,129,31,477.91,Needs Attention
12645,33,73,1775.18,Promising Customer
12646,4,45,1346.97,Champions
12647,22,121,3722.82,Champions
12648,154,21,318.05,Needs Attention
12649,107,31,623.51,At Risk
12650,3,20,314.44,Champions
12651,334,9,114.0,Hibernating
12652,331,48,919.98,At Risk
12653,148,43,2209.85,At Risk
12654,10,38,601.98,Champions
12656,17,126,4051.17,Champions
12657,11,47,1643.18,Champions
12658,18,36,686.05,Promising Customer
12659,29,5,91.68,Hibernating
12660,11,13,245.1,At Risk
12662,0,230,3849.78,Champions
12664,8,37,4881.88,Loyal Customer
12665,324,3,63.0,Hibernating
12667,58,33,620.13,At Risk
12668,11,161,3807.15,Champions
12669,150,101,2744.0299999999997,At Risk
12670,10,92,2996.05,Champions
12672,329,10,225.89999999999998,Hibernating
12673,5,42,610.52,Champions
12674,38,83,1970.6,Promising Customer
12676,24,45,1331.39,Promising Customer
12678,42,165,17628.46,Promising Customer
12679,58,48,1113.02,At Risk
12680,0,52,862.81,Champions
12681,14,638,13787.54,Champions
12682,3,524,12279.82,Champions
12683,4,344,8476.57,Champions
12684,7,105,2283.63,Champions
12685,28,157,2863.08,Promising Customer
12686,371,7,89.14,Hibernating
12688,113,171,4873.8099999999995,Promising Customer
12689,25,72,1247.61,Promising Customer
12690,205,16,389.01,Needs Attention
12691,28,32,1035.8,Promising Customer
12693,127,39,855.91,At Risk
12694,70,37,869.67,At Risk
12695,7,27,582.1,Champions
12697,28,41,957.59,Promising Customer
12700,7,268,4939.99,Champions
12701,79,53,797.71,At Risk
12702,19,12,219.0,At Risk
12703,71,21,283.55,Needs Attention
12704,7,88,2340.84,Champions
12705,15,334,6868.29,Champions
12707,291,33,603.42,Needs Attention
12708,29,157,2712.91,Promising Customer
12709,15,207,9706.52,Champions
12710,96,77,1149.02,At Risk
12712,28,133,4396.13,Promising Customer
12713,0,38,848.55,Champions
12714,9,259,4708.86,Champions
12715,106,20,343.36,Needs Attention
12716,3,69,1053.49,Champions
12717,151,55,1030.98,At Risk
12718,71,19,238.25,Needs Attention
12719,5,39,644.95,Champions
12720,2,354,5781.73,Champions
12721,31,161,2656.13,Promising Customer
12722,85,53,997.63,At Risk
12723,3,69,725.07,Champions
12724,5,53,1031.41,Champions
12725,371,24,427.8,Needs Attention
12726,28,124,2609.1,Promising Customer
12727,10,139,3980.7,Champions
12728,71,46,836.33,At Risk
12729,113,26,453.01,Needs Attention
12731,23,274,18895.91,Champions
12732,179,12,236.26000000000002,Hibernating
12733,234,22,383.95,Needs Attention
12734,352,4,110.39999999999999,Hibernating
12735,315,43,779.5699999999999,Needs Attention
12736,332,4,234.0,Hibernating
12738,372,11,155.35,Hibernating
12739,78,38,1013.04,At Risk
12740,63,27,427.6,At Risk
12743,134,131,540.13,Needs Awareness
12744,51,222,21279.29,Promising Customer
12747,2,103,4196.01,Champions
12748,0,4412,33053.19,Champions
12749,3,199,4090.88,Champions
12750,128,15,275.88,Needs Attention
12752,81,53,4366.78,At Risk
12753,22,197,21429.39,Champions
12754,235,63,3010.74,At Risk
12755,280,4,3811.95,Can't Lose Them
12756,86,4,112.07999999999998,Hibernating
12757,15,364,7834.650000000001,Champions
12758,116,97,2791.59,At Risk
12759,52,95,1531.44,Promising Customer
12762,7,69,1898.52,Champions
12763,138,18,494.08,Needs Attention
12764,316,45,1693.88,At Risk
12766,3,310,6989.63,Champions
12769,238,32,1143.6,At Risk
12770,210,12,1351.45,Can't Lose Them
12772,59,55,892.47,At Risk
12775,17,66,1386.04,Champions
12778,19,50,822.23,Promising Customer
12779,37,149,3981.36,Promising Customer
12781,63,25,826.74,At Risk
12782,4,103,2330.92,Champions
12783,2,84,2225.91,Champions
12784,9,57,532.8199999999999,Potential Customer
12785,364,14,311.95,Hibernating
12787,9,20,463.66,Promising Customer
12789,65,4,91.85,Hibernating
12790,192,21,324.92,Needs Attention
12791,373,2,192.60000000000002,Hibernating
12792,256,25,400.53999999999996,Needs Attention
12793,334,24,545.48,Needs Attention
12794,53,45,860.41,At Risk
12795,18,14,430.48,At Risk
12797,365,13,254.03,Hibernating
12798,10,8,6977.04,Loyal Customer
12802,186,25,427.58,Needs Attention
12808,36,28,483.65000000000003,At Risk
12809,177,25,489.31,Needs Attention
12811,260,31,514.85,Needs Attention
12812,44,15,229.64000000000001,Needs Attention
12814,101,2,125.92,Hibernating
12815,147,47,1063.46,At Risk
12816,95,29,572.2,At Risk
12817,281,4,166.04,Hibernating
12818,261,14,1542.08,Can't Lose Them
12820,3,59,942.34,Champions
12821,214,6,92.72,Hibernating
12822,70,46,948.88,At Risk
12823,74,5,1759.5,Can't Lose Them
12824,59,25,397.12,At Risk
12826,2,91,1474.72,Champions
12827,5,25,430.15000000000003,Champions
12828,2,56,1018.71,Champions
12829,336,11,293.0,Hibernating
12830,37,38,6814.64,Loyal Customer
12831,262,9,215.05,Hibernating
12832,32,27,383.03,At Risk
12833,145,24,417.38,Needs Attention
12834,282,18,312.38,Needs Attention
12836,59,174,2610.36,Promising Customer
12837,173,12,134.1,Hibernating
12838,33,120,671.95,Potential Customer
12839,2,314,5591.42,Champions
12840,143,113,2726.77,At Risk
12841,4,414,3991.58,Champions
12842,70,34,1118.99,At Risk
12843,65,103,1702.26,Promising Customer
12844,29,52,325.96000000000004,Needs Awareness
12845,267,27,354.09,Needs Attention
12847,22,84,843.64,Promising Customer
12849,31,48,1010.29,Promising Customer
12851,96,47,131.81,About to Sleep
12852,294,17,311.55,Needs Attention
12853,134,78,1957.1000000000001,At Risk
12854,78,109,1316.25,Promising Customer
12855,372,3,38.1,Hibernating
12856,7,311,2170.78,Champions
12857,210,46,1106.4,At Risk
12863,52,5,521.2,Can't Lose Them
12864,138,3,147.12,Hibernating
12865,26,95,1568.23,Promising Customer
12866,283,26,559.12,Needs Attention
12867,26,534,4009.34,Promising Customer
12868,185,107,1607.0600000000002,At Risk
12871,84,11,380.64,Needs Attention
12872,326,66,599.97,About to Sleep
12873,282,4,374.0,Hibernating
12875,143,2,343.2300000000001,Hibernating
12876,57,85,2218.02,Promising Customer
12877,3,154,1535.77,Champions
12878,236,47,854.99,At Risk
12879,44,10,573.22,Can't Lose Them
12881,275,7,298.0,Hibernating
12882,9,13,1463.04,Loyal Customer
12883,24,42,703.47,Promising Customer
12884,88,7,309.05,Needs Attention
12885,63,71,1175.22,Promising Customer
12886,67,82,1378.4,Promising Customer
12888,214,5,354.12,Hibernating
12890,24,79,376.71999999999997,Potential Customer
12891,185,3,331.0,Hibernating
12893,30,31,176.55,Needs Awareness
12895,42,22,372.8,At Risk
12897,204,4,216.5,Hibernating
12901,8,116,17654.54,Champions
12902,264,10,138.68,Hibernating
12904,18,71,496.06,Potential Customer
12906,11,63,2919.81,Champions
12908,176,2,750.0,Can't Lose Them
12909,39,91,2178.67,Promising Customer
12910,23,75,3075.04,Promising Customer
12912,2,24,1662.3,Loyal Customer
12913,4,50,2483.63,Champions
12915,148,22,363.65,Needs Attention
12916,138,103,2944.95,At Risk
12917,128,2,594.0,Can't Lose Them
12919,8,50,1335.19,Champions
12920,17,27,162.78,Needs Awareness
12921,9,720,16587.09,Champions
12922,161,28,405.38,Needs Attention
12923,64,28,172.82,About to Sleep
12924,88,30,933.7,At Risk
12925,4,45,694.05,Champions
12928,35,84,2062.7000000000003,Promising Customer
12929,311,8,117.85,Hibernating
12930,78,25,415.8,Needs Attention
12931,21,82,42055.96,Champions
12933,24,106,607.53,Potential Customer
12935,2,129,2160.7,Champions
12936,17,62,1063.9,Promising Customer
12937,15,120,1504.27,Champions
12938,25,9,114.14,About to Sleep
12939,64,47,11581.8,Loyal Customer
12940,54,96,899.69,Promising Customer
12942,131,70,675.6,At Risk
12944,35,30,604.51,At Risk
12945,288,23,462.95,Needs Attention
12947,143,97,1603.99,At Risk
12948,16,116,2064.95,Champions
12949,30,215,4167.22,Promising Customer
12950,2,23,1843.0,Loyal Customer
12951,8,63,1064.07,Champions
12952,5,79,1387.79,Champions
12953,9,17,329.85,Promising Customer
12955,1,180,4757.16,Champions
12956,306,19,108.07,Hibernating
12957,9,238,4017.54,Champions
12962,7,16,266.39,Promising Customer
12963,8,95,1856.63,Champions
12965,89,108,769.8100000000001,Needs Awareness
12966,9,10,160.18,At Risk
12967,358,19,1660.9,Can't Lose Them
12968,112,5,135.95,Hibernating
12970,7,129,405.47,Potential Customer
12971,3,305,11189.91,Champions
12974,197,8,144.8,Hibernating
12976,211,22,738.6,Needs Attention
12977,156,9,39.239999999999995,Hibernating
12980,157,20,7374.900000000001,Can't Lose Them
12981,29,20,372.21999999999997,At Risk
12982,242,28,390.54,Needs Attention
12984,18,4,97.5,Hibernating
12985,0,76,1239.38,Champions
12987,73,28,558.7,At Risk
12988,292,83,505.82,About to Sleep
12989,3,64,6924.110000000001,Champions
12990,31,13,409.5,At Risk
12991,23,31,503.76,Promising Customer
12993,23,27,414.76,Promising Customer
12994,4,61,974.4200000000001,Champions
12995,85,3,211.32,Hibernating
12997,22,59,1226.89,Promising Customer
12999,196,28,455.88,Needs Attention
13000,106,31,534.85,At Risk
13001,4,337,9785.970000000001,Champions
13002,318,7,120.94999999999999,Hibernating
13003,105,6,149.05,Hibernating
13004,11,404,5655.91,Champions
13005,173,26,513.7,Needs Attention
13006,56,4,81.57,Hibernating
13008,323,14,229.46999999999997,Hibernating
13011,372,3,50.550000000000004,Hibernating
13012,9,88,1646.8400000000001,Champions
13013,1,219,4810.9400000000005,Champions
13014,10,109,3466.2799999999997,Champions
13015,53,175,3339.64,Promising Customer
13016,73,47,789.89,At Risk
13017,7,1,204.0,Can't Lose Them
13018,16,458,7277.7,Champions
13021,4,131,2616.38,Champions
13023,64,40,689.9,At Risk
13026,1,40,975.36,Champions
13027,113,26,6912.0,Can't Lose Them
13028,22,45,661.3199999999999,Promising Customer
13029,30,10,1247.5,Loyal Customer
13030,11,92,752.4399999999999,Potential Customer
13032,52,71,1010.18,Promising Customer
13033,357,11,190.55,Hibernating
13034,54,37,642.77,At Risk
13035,73,27,921.88,At Risk
13037,138,48,881.07,At Risk
13038,80,28,908.46,At Risk
13040,8,43,676.99,Champions
13043,273,13,516.42,Needs Attention
13044,291,33,560.47,Needs Attention
13045,99,18,305.28000000000003,Needs Attention
13046,30,35,629.31,Promising Customer
13047,31,172,3237.54,Promising Customer
13048,14,135,1819.41,Champions
13049,64,14,656.6800000000001,Can't Lose Them
13050,14,403,5836.86,Champions
13052,212,18,348.15000000000003,Needs Attention
13055,78,76,1214.41,At Risk
13058,24,8,271.40000000000003,Needs Attention
13059,249,8,183.4,Hibernating
13060,253,15,307.53,Needs Attention
13061,72,10,248.61,Needs Attention
13062,191,11,346.98,Needs Attention
13064,12,68,1105.59,Champions
13065,373,14,205.86,Hibernating
13066,24,48,470.8,Promising Customer
13067,82,15,115.46000000000001,Hibernating
13068,10,2,344.0,Loyal Customer
13069,0,424,4431.44,Champions
13070,192,9,228.8,Hibernating
13072,266,7,177.15,Hibernating
13075,129,22,919.61,Can't Lose Them
13077,1,111,728.02,Champions
13078,3,358,12627.94,Champions
13079,4,6,220.10000000000002,Loyal Customer
13080,179,6,58.08,Hibernating
13081,11,1024,28337.38,Champions
13082,126,73,3613.63,At Risk
13083,4,18,303.75,Champions
13085,157,22,416.08000000000004,Needs Attention
13089,2,1814,58762.08,Champions
13090,8,155,8910.82,Champions
13091,28,21,345.82,At Risk
13092,70,25,477.83,At Risk
13093,275,159,7832.47,At Risk
13094,21,24,1927.3200000000002,Loyal Customer
13095,70,6,74.39999999999999,Hibernating
13097,32,421,6003.22,Promising Customer
13098,1,572,28882.44,Champions
13099,99,1,207.35999999999999,Hibernating
13101,234,8,101.19,Hibernating
13102,1,304,6424.09,Champions
13103,39,8,243.94,Needs Attention
13104,3,20,1098.48,Loyal Customer
13106,133,1,76.5,Hibernating
13107,44,58,1531.6200000000001,Promising Customer
13108,372,10,350.06,Hibernating
13109,59,47,786.54,At Risk
13110,31,145,1488.67,Promising Customer
13113,0,200,12245.960000000001,Champions
13115,11,120,2294.78,Champions
13116,138,30,501.14,Needs Attention
13117,21,76,984.91,Promising Customer
13118,19,79,1197.81,Promising Customer
13120,238,1,30.599999999999998,Hibernating
13121,269,50,283.73,About to Sleep
13122,94,55,922.39,At Risk
13124,89,222,3756.33,Promising Customer
13126,4,140,2099.64,Champions
13127,77,15,259.17,Needs Attention
13130,94,2,64.0,Hibernating
13131,23,44,1073.3,Promising Customer
13132,261,3,77.3,Hibernating
13133,273,7,109.8,Hibernating
13134,85,98,1793.58,Promising Customer
13135,196,1,3096.0,Can't Lose Them
13136,56,127,2607.61,Promising Customer
13137,10,687,3603.29,Champions
13138,22,63,962.39,Promising Customer
13139,16,170,5064.94,Champions
13140,108,45,422.47,At Risk
13141,84,135,2388.75,Promising Customer
13142,19,23,307.09,Needs Awareness
13144,332,3,110.95,Hibernating
13145,39,6,618.52,Can't Lose Them
13146,26,17,228.91,At Risk
13147,10,4,712.8000000000001,Loyal Customer
13148,29,312,3683.26,Promising Customer
13149,14,86,1676.06,Champions
13151,295,74,1257.8700000000001,At Risk
13153,5,15,486.22,Loyal Customer
13155,33,85,971.76,Promising Customer
13157,49,87,1741.22,Promising Customer
13158,94,79,1201.06,At Risk
13159,8,120,1429.35,Champions
13160,22,4,91.8,Hibernating
13161,313,8,112.75,Hibernating
13162,122,79,1688.29,At Risk
13165,46,42,1021.48,Promising Customer
13166,283,41,417.2,About to Sleep
13167,18,65,791.33,Promising Customer
13168,36,126,1299.59,Promising Customer
13169,63,13,712.88,Can't Lose Them
13170,26,30,108.81,Needs Awareness
13171,21,46,468.41,Promising Customer
13173,4,43,353.65,Potential Customer
13174,16,293,2742.82,Champions
13176,46,67,481.49,Needs Awareness
13177,64,17,282.45,Needs Attention
13178,26,265,5725.47,Promising Customer
13182,45,11,121.18,Hibernating
13183,7,94,3957.78,Champions
13184,14,179,1668.95,Champions
13185,267,1,71.4,Hibernating
13186,39,79,1575.89,Promising Customer
13187,337,37,236.02,About to Sleep
13188,11,2,114.60000000000001,Hibernating
13189,18,29,260.68,Needs Awareness
13192,95,63,911.94,At Risk
13193,61,25,112.08,About to Sleep
13194,135,3,60.7,Hibernating
13196,11,110,1797.78,Champions
13198,10,226,3401.2400000000002,Champions
13199,3,119,9817.12,Champions
13200,19,46,870.09,Promising Customer
13203,9,57,869.46,Champions
13207,15,8,250.26000000000002,At Risk
13208,58,148,1217.65,Promising Customer
13209,30,321,5891.61,Promising Customer
13210,93,22,353.48,Needs Attention
13211,10,55,1095.42,Champions
13212,19,141,786.83,Potential Customer
13213,56,90,1520.58,Promising Customer
13216,267,5,333.74,Hibernating
13217,122,4,533.98,Can't Lose Them
13218,127,5,62.63999999999999,Hibernating
13220,78,21,819.2900000000001,Can't Lose Them
13221,240,66,847.41,At Risk
13223,200,5,163.20000000000002,Hibernating
13224,60,108,2155.95,Promising Customer
13225,3,32,6463.84,Loyal Customer
13226,273,16,108.21000000000001,Hibernating
13227,201,9,257.7,Hibernating
13228,81,2,358.0,Can't Lose Them
13229,225,10,160.95,Hibernating
13230,4,587,2755.63,Champions
13232,12,202,1328.35,Potential Customer
13233,74,43,605.12,At Risk
13235,212,58,1031.07,At Risk
13236,24,36,744.85,Promising Customer
13238,17,31,700.73,Promising Customer
13239,261,21,329.56,Needs Attention
13240,96,67,663.65,At Risk
13242,112,13,270.40000000000003,Needs Attention
13243,203,57,585.12,At Risk
13244,92,27,121.74000000000001,About to Sleep
13245,50,16,430.5,At Risk
13246,18,136,1961.52,Champions
13247,17,25,501.12,Promising Customer
13248,124,26,465.68,Needs Attention
13249,92,23,711.41,At Risk
13253,156,36,1030.4,At Risk
13255,9,13,399.51,Loyal Customer
13258,11,36,672.83,Champions
13259,61,81,283.18,Needs Awareness
13260,61,8,557.62,Can't Lose Them
13261,268,9,944.1,Can't Lose Them
13262,263,11,200.29,Hibernating
13263,1,1667,7436.93,Champions
13265,53,90,2092.66,Promising Customer
13266,11,187,3834.2599999999998,Champions
13267,2,211,4521.49,Champions
13268,17,433,3174.75,Champions
13269,1,315,5343.28,Champions
13270,366,1,590.0,Needs Attention
13271,37,87,211.49,Needs Awareness
13272,31,15,276.56,Needs Attention
13273,113,16,138.98,Hibernating
13276,63,30,590.9300000000001,At Risk
13277,15,8,258.4,At Risk
13278,40,46,542.73,At Risk
13279,78,9,137.75,Hibernating
13280,122,82,798.46,At Risk
13282,18,37,1132.14,Promising Customer
13283,59,7,93.66,Hibernating
13284,330,13,201.19,Hibernating
13285,23,187,2709.12,Champions
13291,155,42,361.11,About to Sleep
13292,38,31,578.9399999999999,At Risk
13294,189,54,873.74,At Risk
13295,359,10,201.20000000000002,Hibernating
13296,137,5,87.4,Hibernating
13297,7,59,2089.85,Champions
13298,1,2,360.0,Loyal Customer
13299,268,5,142.5,Hibernating
13300,169,20,371.89,Needs Attention
13301,103,81,618.09,Needs Awareness
13302,155,1,63.75,Hibernating
13304,351,21,300.42,Needs Attention
13305,4,81,2000.86,Champions
13307,120,1,15.0,Hibernating
13308,22,54,1385.51,Promising Customer
13309,7,107,1456.79,Champions
13310,28,72,1132.03,Promising Customer
13311,4,26,598.57,Champions
13313,22,78,1555.32,Promising Customer
13314,1,62,775.94,Champions
13316,37,86,5732.93,Promising Customer
13317,66,124,2273.68,Promising Customer
13318,1,20,640.76,Champions
13319,5,476,10845.550000000001,Champions
13320,78,105,1532.2,Promising Customer
13321,72,11,567.36,Can't Lose Them
13322,17,25,199.48000000000002,Needs Awareness
13323,3,21,787.85,Loyal Customer
13324,36,75,7121.95,Promising Customer
13325,81,12,675.3,Can't Lose Them
13327,38,108,3627.77,Promising Customer
13328,316,17,1308.48,Can't Lose Them
13329,31,17,789.0,At Risk
13330,92,53,1140.93,At Risk
13332,14,21,350.9,Promising Customer
13334,82,265,3502.32,Promising Customer
13336,77,51,795.12,At Risk
13338,157,19,487.02,Needs Attention
13339,200,54,860.12,At Risk
13340,45,134,10736.48,Promising Customer
13341,260,42,775.85,At Risk
13343,177,19,353.43,Needs Attention
13344,67,116,2511.69,Promising Customer
13345,287,20,389.5,Needs Attention
13347,70,8,341.36,Needs Attention
13348,64,14,233.76,Needs Attention
13349,10,16,247.32,Promising Customer
13350,16,40,979.12,Promising Customer
13351,66,16,373.94,Needs Attention
13352,60,24,397.97999999999996,At Risk
13354,71,51,743.53,At Risk
13355,122,32,674.7,At Risk
13356,80,42,768.24,At Risk
13357,257,89,609.4,Needs Awareness
13358,268,29,439.03,Needs Attention
13359,63,23,439.56,At Risk
13362,9,166,3090.7400000000002,Champions
13363,17,60,992.5,Promising Customer
13364,71,10,134.95999999999998,Hibernating
13365,33,128,2225.37,Promising Customer
13366,50,1,56.160000000000004,Hibernating
13368,256,29,623.4,Needs Attention
13369,365,14,308.28000000000003,Hibernating
13370,371,39,754.87,Needs Attention
13372,89,23,378.64,Needs Attention
13373,60,158,3312.25,Promising Customer
13375,88,37,778.65,At Risk
13376,99,53,1019.76,At Risk
13379,26,97,572.56,Potential Customer
